#SampleID,Wildfire,Library,SampleNum,SiteID,Plot,Subplot,TimePoint,Date,SampleType,SoilDepth,Longitude,Latitude,Aspect,Slope,Treatment,BAERsbs,AshSeverity,InitialAshDepth,Elev,TSFdays,TSFweeks,TSFmonths,TotalSolarRad,AvgSolarRad,AvgWind,AvgAirTemp,AvgFuelTemp,AvgHumidity,TotalPrecip,AvgPrecip
BHoly4NT9,HolyFire,Lib4,307,CNF04NTP9,CNF04,4N,TP9,9/24/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Low,0.5,1260,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly4ST9,HolyFire,Lib4,309,CNF04STP9,CNF04,4S,TP9,9/24/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,2.5,1260,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly4WT9,HolyFire,Lib4,310,CNF04WTP9,CNF04,4W,TP9,9/24/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,3,1260,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly5ET9,HolyFire,Lib4,312,CNF05ETP9,CNF05,5E,TP9,9/24/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,4.5,1200,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly5NT9,HolyFire,Lib4,311,CNF05NTP9,CNF05,5N,TP9,9/24/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,5.5,1200,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly5ST9,HolyFire,Lib4,313,CNF05STP9,CNF05,5S,TP9,9/24/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,6,1200,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly5WT9,HolyFire,Lib4,315,CNF05WTP9,CNF05,5W,TP9,9/24/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,6,1200,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly6ET9,HolyFire,Lib4,317,CNF06ETP9,CNF06,6E,TP9,9/24/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,11.75,1288,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly6NT9,HolyFire,Lib4,316,CNF06NTP9,CNF06,6N,TP9,9/24/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Moderate,1.9,1288,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly6ST9,HolyFire,Lib4,318,CNF06STP9,CNF06,6S,TP9,9/24/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,5.5,1288,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
