FungalSeqID,SiteId,SeqSampleNum,FireName,Library,Timepoint,Date,Latitude,Longitude,Elevation,Aspect,AspectDegrees,SampleType,SampleDepth,Plot,Subplot,Treatment,BAERsbs,AshSeverity,InitialAshDepth,TSFdays,TSFweeks,TSFmonths,AvgSolarRad,AvgWind,AvgAirTemp,AvgMeanFueTemp,AvgPerMeanHumid,TotPrecip,AvgPrecipitation
F041Holy8NT6,CNF8NT6,41,Holy,Lib1,T6,1/22/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8N,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F042Holy8ET6,CNF8ET6,42,Holy,Lib1,T6,1/22/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8E,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F043Holy8ST6,CNF8ST6,43,Holy,Lib1,T6,1/22/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8S,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F044Holy8WT6,CNF8WT6,44,Holy,Lib1,T6,1/22/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8W,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F045Holy9NT6,CNF9NT6,45,Holy,Lib1,T6,1/22/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9N,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F046Holy9ET6,CNF9ET6,46,Holy,Lib1,T6,1/22/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9E,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F047Holy9ST6,CNF9ST6,47,Holy,Lib1,T6,1/22/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9S,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F048Holy9WT6,CNF9WT6,48,Holy,Lib1,T6,1/22/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9W,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F049Holy5NT6,CNF5NT6,49,Holy,Lib1,T6,1/22/19,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5N,Burned,Moderate,High,5.5,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F050Holy5ET6,CNF5ET6,50,Holy,Lib1,T6,1/22/19,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5E,Burned,Moderate,High,4.5,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F051Holy5ST6,CNF5ST6,51,Holy,Lib1,T6,1/22/19,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5S,Burned,Moderate,High,8.3,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F052Holy5WT6,CNF5WT6,52,Holy,Lib1,T6,1/22/19,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5W,Burned,Moderate,High,7.8,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F053Holy4NT6,CNF4NT6,53,Holy,Lib1,T6,1/22/19,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4N,Burned,Moderate,Low,0.5,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F054Holy4ET6,CNF4ET6,54,Holy,Lib1,T6,1/22/19,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4E,Burned,Moderate,High,4.7,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F055Holy4ST6,CNF4ST6,55,Holy,Lib1,T6,1/22/19,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4S,Burned,Moderate,Moderate,2.5,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F056Holy4WT6,CNF4WT6,56,Holy,Lib1,T6,1/22/19,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4W,Burned,Moderate,Moderate,3,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F099Holy1NT4,CNF1NT4,99,Holy,Lib1,T4,11/19/18,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1N,Burned,Moderate,High,7,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F100Holy1ET4,CNF1ET4,100,Holy,Lib1,T4,11/19/18,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1E,Burned,Moderate,Low,1,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F101Holy1ST4,CNF1ST4,101,Holy,Lib1,T4,11/19/18,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1S,Burned,Moderate,High,7.5,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F102HolyCNF1WT4,CNF1WT4,102,Holy,Lib2,T4,11/19/18,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1W,Burned,Moderate,High,4,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F103HolyCNF2NT4,CNF2NT4,103,Holy,Lib2,T4,11/19/18,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2N,Burned,Moderate,High,6,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
